…之…	非常
虮子	虫卵
忌垢	嫉妒
忌妒	嫉妒
记记	胎记	
记倒(起)	登记
记账	记账
祭轿	出嫁
祭幛	祭幛
荠荠菜	杂草
继母	继母
继父	继父
䫏头	便宜
欺软怕恶	欺软怕硬
欺软怕硬	欺软怕硬
妻子	妻子
七	数目字
七十	数目字
七十一	数目字
七古八杂	杂七杂八
七个巧	划拳
七月初七	春节
七月半	春节
七嘴八舌	七嘴八舌
七手八脚	七手八脚
七颠八倒	七颠八倒
七拼八凑	拼凑
七长八短	参差不齐
七上八下	七上八下
七拱八翘	凹凸不平
七翘八拱	凹凸不平
乞巧节	七夕情人节
七庚	算命
漆痱子	皮炎
漆水	漆皮
齐	整齐
旗袍	旗袍
骑马马肩	捉迷藏
起	长出
起子	起子
起鸡皮子	应激反应
起鸡皮疙瘩(儿)	应激反应
起露水	下霜
起诉书	起诉书
起雾	起雾
起大名	取名
起学名	取名
起牙	长出
起花儿	挡子
起来	起来
起稿子	起草
起草(稿)	起草
起小名	取名
起坎	发家
起先	原先
起房子	修盖
起床	起床
起风	吹风
起明星	金星
汽车	汽车
汽油	汽油
汽柑	橘子
砌长城	打牌
砌砖	打牌
气	气体
气气	气味
气味	气味
气划子	汽艇
气棒锤	长舌妇
气里食	生闷气
气味	气味
气包卵	病人
气管炎	气管炎
气紧	气促
(气)喘	气促
尼姑	尼姑
泥巴	泥巴
泥巴砖	砖头
泥水匠	木匠
泥鳅	泥鳅
(泥)掌子	铲子
你	你
你们	我们
你们两个	亲戚
腻	腻味
西式裤儿	裤子
西式裤子	裤子
西服	西服
西瓜	西瓜
西边	西边
西方	西边
西门(上)	西边
西方	欧美
些	那时
稀	非常
稀稀	之极
稀饭	稀饭
稀烂八烂	稀巴烂
稀王八烂	稀巴烂
稀鸳篼(儿)	撮箕
稀脏八脏	脏
嘻	裂开
嘻瓜娃儿	傻瓜
吸铁(石)	磁铁
吸烟	吸烟
媳妇儿	儿媳妇儿
膝盖	膝盖
锡	金银铜铁锡
锡匠	铁匠
蟋蟀	蟋蟀
洗衣裳	洗衣
洗衣服	洗衣
洗一水	洗衣
洗一回	洗衣
洗茶碗	酬宾
喜茶碗	酬宾
洗(过)年猪	宰杀
喜(过)年猪	宰杀
洗脚帕	毛巾
(洗)脚盆	盆子
洗筷子	吃饭
洗澡	洗澡
洗澡泡菜	泡菜
(洗)澡盆(子)	盆子
